	S2N	p-val	FDR
HSPA6	5.0	4.988526389304599e-07	4.7393364928909945e-05
MYC	5.0	4.988526389304599e-07	4.7393364928909945e-05
GEMIN5	4.205102443695068	4.988526389304599e-07	4.7393364928909945e-05
IPO4	3.8484954833984375	4.988526389304599e-07	4.7393364928909945e-05
CCDC86	3.807469129562378	4.988526389304599e-07	4.7393364928909945e-05
LOC201164	3.666835069656372	4.988526389304599e-07	4.7393364928909945e-05
NOL5A	3.5775363445281982	4.988526389304599e-07	4.7393364928909945e-05
EXOSC5	3.4871826171875	4.988526389304599e-07	4.7393364928909945e-05
RABEPK	3.4332756996154785	4.988526389304599e-07	4.7393364928909945e-05
SCFD2	3.3882317543029785	4.988526389304599e-07	4.7393364928909945e-05
FAM86C	3.259815216064453	4.988526389304599e-07	4.7393364928909945e-05
BCS1L	3.0933306217193604	4.988526389304599e-07	4.7393364928909945e-05
RNU3IP2	2.8462657928466797	4.988526389304599e-07	4.7393364928909945e-05
IMP4	2.7226884365081787	4.988526389304599e-07	4.7393364928909945e-05
SRM	2.6518707275390625	4.988526389304599e-07	4.7393364928909945e-05
PES1	2.650078058242798	4.988526389304599e-07	4.7393364928909945e-05
SFXN4	2.626260995864868	4.988526389304599e-07	4.7393364928909945e-05
NOL6	2.579232692718506	4.988526389304599e-07	4.7393364928909945e-05
SLC6A15	2.5691466331481934	4.988526389304599e-07	4.7393364928909945e-05
MGC2408	2.5018444061279297	4.988526389304599e-07	4.7393364928909945e-05
METTL1	2.4901585578918457	4.988526389304599e-07	4.7393364928909945e-05
ZNF667	2.4717116355895996	4.988526389304599e-07	4.7393364928909945e-05
TMEM97	2.453860282897949	4.988526389304599e-07	4.7393364928909945e-05
C1ORF107	2.4345316886901855	4.988526389304599e-07	4.7393364928909945e-05
WDR12	2.4302093982696533	4.988526389304599e-07	4.7393364928909945e-05
CIRH1A	2.4273626804351807	4.988526389304599e-07	4.7393364928909945e-05
SORD	2.4241702556610107	4.988526389304599e-07	4.7393364928909945e-05
NOL1	2.41253662109375	4.988526389304599e-07	4.7393364928909945e-05
UBIAD1	2.4067816734313965	4.988526389304599e-07	4.7393364928909945e-05
UTP20	2.38666033744812	4.988526389304599e-07	4.7393364928909945e-05
NOLC1	2.38023042678833	4.988526389304599e-07	4.7393364928909945e-05
CCDC78	2.3773033618927	4.988526389304599e-07	4.7393364928909945e-05
FLJ12684	2.351433277130127	4.988526389304599e-07	4.7393364928909945e-05
BID	2.312347173690796	4.988526389304599e-07	4.7393364928909945e-05
WDR21A	2.308288812637329	4.988526389304599e-07	4.7393364928909945e-05
FARSLA	2.3074429035186768	4.988526389304599e-07	4.7393364928909945e-05
TRMT1	2.291605234146118	4.988526389304599e-07	4.7393364928909945e-05
C11ORF48	2.2609970569610596	4.988526389304599e-07	4.7393364928909945e-05
DKC1	2.2595367431640625	4.988526389304599e-07	4.7393364928909945e-05
FARSLB	2.2328338623046875	4.988526389304599e-07	4.7393364928909945e-05
PFKM	2.2263758182525635	4.988526389304599e-07	4.7393364928909945e-05
NCL	2.2214221954345703	4.988526389304599e-07	4.7393364928909945e-05
