Gene	Score	0.95 MoE	P-Value	FDR
SMTN	-0.8660237453458413	0.0034617724299314395		
ZNF236	-0.8659942231239663	0.003255023910819097		
MST1R	-0.8659185466948167	0.0034605609672804156		
ARNTL	-0.8655393080893934	0.003036915129159957		
FGF11	-0.8654265373348283	0.0029146852765900527		
SORL1	-0.8653707631959504	0.0031203614556277073		
SPTAN1	-0.8651497643906743	0.0033091819226945896		
OSBP2	-0.8649378695948907	0.0029493907235464624		
KIAA0323	-0.8646503047437781	0.0031211379760819726		
PHF1	-0.8645310639534775	0.0033985942995010533		
RAP1A	-0.8642379810890819	0.0028415432816740476		
RHBDF1	-0.864118260691321	0.003080469741216622		
ACSS2	-0.8636674335442182	0.003461671538540658		
AHNAK	-0.8632416343474856	0.003217923084677204		
ABCC3	-0.8630214054806232	0.0035085436981671194		
CDCA8	-0.8623137427774906	0.003226257317219387		
NFKB2	-0.8619588237683271	0.00315584542674053		
ZBED2	-0.861100408240132	0.0038539515209510045		
TINF2	-0.8610151557779332	0.0031851682232617467		
DDAH2	-0.8609852922224095	0.003123770819901897		
HEG1	-0.8607057600779651	0.0037417483300914694		
FLJ22531	-0.8607003373327876	0.003095955113524439		
KIAA1609	-0.8606957353577414	0.0033740478248758354		
FLJ10404	-0.8600432742367834	0.003409889376128515		
NTF5	-0.8598348326409612	0.0033638852617830554		
DUSP18	-0.8581907096203008	0.004191164182992421		
C17ORF27	-0.8581549842986229	0.0034867956045103545		
IL4R	-0.8578606363368854	0.0036237469317891733		
S100A3	-0.8577607399335777	0.004037505330782122		
MICAL1	-0.8574498237485265	0.003597015974359817		
DHRS1	-0.8574341456437606	0.0031302427818137787		
EPS8L1	-0.857333781310737	0.0038573247092397334		
HIST1H2AC	-0.8571510534899093	0.003910698165987286		
FGFBP1	-0.8567141010502896	0.0037339015107973324		
ARNTL2	-0.8562167048151463	0.0035324051635651638		
ISGF3G	-0.8562063499260025	0.003395484751164937		
PLEC1	-0.8557961650032682	0.004416466758455786		
ATP2B4	-0.8556477129210137	0.00394067885229402		
C11ORF32	-0.8548773737228862	0.0036351950864139987		
COL5A1	-0.8542877522426833	0.004147433946960227		
MKNK1	-0.8542850067826341	0.0037882906848195385		
