Gene	signal_to_noise_ratio
NT5DC1P1	-0.7643635634185257
MT-TI	-0.7148942165132126
GPAT2	-0.6564002607805633
AC011487.2	-0.6488792068669682
HOXB-AS1	-0.6473726389035168
CHCHD10	-0.6290200275528478
MRPL34	-0.6244850953620025
AC090241.2	-0.6175993825262677
E2F3-IT1	-0.6156055764901074
SEPTIN7P10	-0.6120373757499972
ATXN1-AS1	-0.6085538447605555
VEGFA	-0.6041513495194462
CALCB	-0.5993712274178274
RNU5E-10P	-0.5910784977656696
NDUFC1	-0.5842312077994622
APOO	-0.581965631584467
PPP2R2DP1	-0.5735478963477904
ATP5MC3	-0.5718691744678885
TRG-AS1	-0.5711373076748328
FZD4-DT	-0.5708966935026114
LRRC37A6P	-0.562399323811551
TCF15	-0.5623535373255255
CKS1BP1	-0.5602520265815494
COX8A	-0.5597993636852789
H3C15	-0.5556714944411622
SCN4B	-0.5545966660100717
SLC16A1	-0.5493184338474952
ABCG4	-0.5473579125862135
RN7SL65P	-0.5461625974324237
SCTR-AS1	-0.5451012533270634
CHCHD3P3	-0.536791116895427
COX4I2	-0.5345434131090812
OR7E29P	-0.5325210315432998
SOGA3	-0.5319674125827714
SLC25A4	-0.5310490300787549
UQCRHL	-0.5286741234525539
SLC25A30	-0.5246713692767767
KRT18P48	-0.5237471928378629
LINC00659	-0.5228107051279653
GOT2	-0.5208333988911981
SLC25A3P2	-0.5196633896287421
PNP	-0.5192709111411213
GLRX5	-0.5176833926331375
EVA1A	-0.5156558017404956
USP32P3	-0.5155785019346413
CCDC58P3	-0.5155353379712515
TSLP	-0.5143656468349826
CYCSP55	-0.5127065676516445
COX7C	-0.5125892326774656
CALHM4	-0.5105421275839627
HIGD1B	-0.509292646075266
RHOT1P2	-0.5089660335902967
ATP5MPL	-0.5087978852582475
MIR222	-0.5067820820475175
LINC01659	-0.5046938165838437
VDAC1P13	-0.5035380751022037
CIAO2A	-0.5030286205816829
PRADC1P1	-0.5019237420899108
RPRML	-0.5017542379855685
MOGAT1	-0.5015302257551191
CCNB1IP1P3	-0.5005153597985463
RASGEF1A	-0.49967025625985234
EMCN	-0.49790078924740494
AC004947.1	-0.497872264935094
ATP5MG	-0.4978233980635408
PAFAH1B2P1	-0.4970099059475004
RD3L	-0.4958236839804978
C9orf43	-0.4956309573998641
FAM96AP2	-0.4951190418400353
PLA2G12AP1	-0.4932737265087272
AKAP7	-0.49322382156936206
CYC1	-0.49274677038135833
LINC01412	-0.49203517138003255
MRPS9-AS2	-0.49153825562836384
EOLA1	-0.4910489638879001
NDUFA5P11	-0.49038903818280266
CYCS	-0.4899503184817568
TBC1D30	-0.48976598251223485
HEXIM2	-0.48852049098542194
LINC00160	-0.4880798701087792
RCN1P2	-0.48696115450106364
MADD-AS1	-0.48688577894170854
DLAT	-0.48687878584723043
COX10	-0.4868256256257532
ACE	-0.48628803801337833
NUDT8	-0.48626514273981725
ZNF415	-0.48587309736689516
HPDL	-0.4846002071735334
GAL3ST3	-0.48387057488102386
PPIAP46	-0.4834253214573369
RPL13P5	-0.4832910705481568
MMACHC	-0.48242458859140086
KRBA2	-0.48239543639690946
COX6C	-0.4821094071102904
NKILA	-0.48170106820436787
NDUFAB1	-0.4807546784782474
ATP5PF	-0.480705783789957
RPL21P106	-0.48048812508395145
ZNF154	-0.4802880391699032
CKMT2	-0.47919032974905573
GOT1	-0.4789547725870577
H3C7	-0.47801709996108693
NDUFB10	-0.47774209644402127
PDHB	-0.47733815732018114
HOXB4	-0.47693578556058824
OR51E1	-0.476592718551393
COQ10A	-0.474846009159663
MFSD6L	-0.4746267437514209
UQCRB	-0.4741766481026541
PDHA1	-0.4737188078364803
ESRRA	-0.47353155056803126
ATP5F1C	-0.4732815621899041
PTGES2	-0.4717270179357201
ATP5MC1	-0.4709434404426847
STEAP2-AS1	-0.470060255272097
LYPLA1	-0.46966599000778253
ANK1	-0.4695113260831046
PTER	-0.4692575610148326
NUDT15	-0.4687871649380447
UQCRH	-0.46822965548405454
SEMA3B-AS1	-0.46789685749610677
ETNPPL	-0.4678126363596645
RN7SKP47	-0.4676629646074686
ITPRIPL1	-0.46756203865544776
SMILR	-0.4672439115409213
PPIC	-0.4669262728810743
BCAP31P1	-0.4664919570501564
PERM1	-0.4662388896500817
RNU7-55P	-0.46583593543763513
DCLK3	-0.46511459663426213
NKG7	-0.4646479460214245
PKIB	-0.4645866422744498
PAX1	-0.4645576950710908
GCOM2	-0.4637749078102976
CEACAM1	-0.4637049903859952
HOXB2	-0.463397171202263
PRRG3	-0.4630973638505819
TOMM40L	-0.4626872350531554
FGF11	-0.46214570022760737
GAPDHP69	-0.4614301401189787
CLEC2L	-0.46064488204791565
SH3TC2	-0.4605033039565058
ATP5PO	-0.45892824803878535
TIGAR	-0.45853736462904987
DEFA6	-0.45770879700810574
SLC25A5-AS1	-0.45761271014192784
NEURL1B	-0.45677863822639
VDAC3P1	-0.4561300574410009
LYPLA1P3	-0.4547463606695077
NDUFA6	-0.45456758650662926
LAP3P2	-0.45344882518032836
ATP5F1B	-0.4533803304453811
MECOM	-0.4531259803713435
HDDC2	-0.45297536462443583
COX7B	-0.45234930550120256
TIFA	-0.4513804823062855
LY6K	-0.4512716279912346
DECR1	-0.45081409879309514
GZMK	-0.45071393041067853
NDUFA4	-0.45063343068206163
MARCHF10	-0.45023494232631295
ATP5MFP2	-0.4499339147736759
SLC25A3	-0.449720487305595
PKMYT1	-0.44955037103775225
TIMM21	-0.44881809742382667
TRDJ4	-0.44838310382673136
RNF207	-0.4473139575201076
NDUFB4P12	-0.4472401547018473
OLR1	-0.4471523511264689
ATP5MD	-0.446960383961605
SLC25A11	-0.4465668123473048
GCSH	-0.44616825997446785
PPP1R14B	-0.4455823488301131
SLC7A7	-0.4454089939151159
SLC16A12	-0.44504994692769084
MTX2	-0.44457846196894757
PPIF	-0.4443279685357275
SLC25A15	-0.4443067016353925
SMPD5	-0.44387123320290073
TRIM69	-0.44386375445096743
SYT7	-0.4435554261977594
NDUFB1	-0.4435143344680747
SLC25A5P1	-0.4433767303171964
CCR2	-0.44251741814171913
RN7SL838P	-0.44171726472213085
MIR8063	-0.44152774076845275
CHODL	-0.44129153926336895
KAZALD1	-0.4405242705693608
SDHD	-0.44010565613909597
NDUFB8	-0.4384849828287727
PPP1R14BP3	-0.4384349575684156
MIR4458HG	-0.43833775996712704
CCDC28B	-0.43804777644282683
RPS2P28	-0.4380011363915837
GAPDHS	-0.4377302752448475
CFAP126	-0.43766200418915513
CA2	-0.4375695086739433
PRR34	-0.43729214823146767
AC055876.1	-0.43706573257022646
UQCRFS1	-0.4370642782268847
LRFN5	-0.43698244451030305
COX7CP1	-0.4363253722679947
SLC14A1	-0.4361581340497987
COX7A2	-0.43604130118266404
MIR132	-0.4359293136911452
FASTKD1	-0.4352421850037275
CTBP2P1	-0.43485157617534237
HSPD1P1	-0.43456863166771725
SH3KBP1	-0.4340184195527643
OPN3	-0.4339223299754441
CD200R1L-AS1	-0.43363332501659346
COX5A	-0.43349981947062377
OXNAD1	-0.43230719256971567
LINC01715	-0.43216384096976834
OR7E130P	-0.43188163284318487
MRPL15	-0.43156966439553046
ATP5ME	-0.4314987471703388
SUCLA2P1	-0.4310784242283428
NDUFS8	-0.4308030395696033
LINC02802	-0.43055744769551935
TMEM141	-0.43002577883472864
IDI2-AS1	-0.42965549991625135
KIF22	-0.42960810594333837
PAQR4	-0.42957194149568745
PRRT3-AS1	-0.42948680891891117
PLAU	-0.4294178663468119
OR7E93P	-0.4292928101434199
ITGB1BP2	-0.428932743951296
FLT1	-0.4285903525405955
UQCRBP1	-0.4283987076292542
RPS26P21	-0.4283777506912105
RNF5	-0.42832880820804253
RAMP2	-0.4280394798251042
TSHR	-0.42793588076084665
GPR4	-0.4276681720336978
NDUFB3	-0.42680123910371365
SCARNA11	-0.42652154079549753
CPTP	-0.42628558985900533
UQCRC1	-0.4262263034612304
NCBP2AS2	-0.4262226357931006
SUCLG1	-0.42609617318574966
GLRX2	-0.4260192674637689
ENPP5	-0.4259129240541967
LINC02785	-0.4254823724935426
UQCR10	-0.4254350236098683
NDUFA8	-0.4254225051321194
PRSS55	-0.4253236145973666
PPM1H	-0.4253194677334404
ETHE1	-0.42523885588000043
APLNR	-0.42521822804329945
ATP5F1A	-0.42486230905695255
MRPL33	-0.4246222055197604
RPL17P22	-0.42436778994732316
MRPS12	-0.4243016440637474
NDUFS3	-0.42413473089967785
TIMM8AP1	-0.4235519396983326
MT-CO3	-0.42340041095189557
RNASE8	-0.42334174923462725
FAM171A1	-0.4232846904631243
GATD3B	-0.4226224977671777
RILP	-0.42238776275264306
MICOS13	-0.4221891271723007
RPL38P2	-0.42162860035502986
